LWR	fract	aLWR	afract	taxopath
1.245	0.002108	590.7	1	Eukaryota
0	0	34.4	0.05824	Eukaryota;Archaeplastida
0	0	34.19	0.05789	Eukaryota;Archaeplastida;Chloroplastida
1.832	0.003102	28.6	0.04842	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta
1.239	0.002098	8.109	0.01373	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae
0.9359	0.001584	1.345	0.002276	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales
0.003747	6.343e-06	0.2215	0.000375	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus
0.0554	9.378e-05	0.0554	9.378e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus;bacillaris
0.1624	0.0002749	0.1624	0.0002749	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus;mirabilis
0	0	0.1872	0.0003169	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Desmococcus
0.1872	0.0003169	0.1872	0.0003169	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Desmococcus;olivaceus
0	0	0.1566	0.0002651	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Pseudochlorella
0.1566	0.0002651	0.1566	0.0002651	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Pseudochlorella;signiensis
0.497	0.0008414	0.9997	0.001692	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium
0.05818	9.849e-05	0.05818	9.849e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;ellipsoideum
0.2964	0.0005017	0.2964	0.0005017	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;saccharophilum
0.1482	0.0002509	0.1482	0.0002509	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;SAG2055
0.1993	0.0003374	0.1993	0.0003374	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;BCP_EM3VF21
0	0	0.3986	0.0006748	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium
0.1993	0.0003374	0.1993	0.0003374	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium;CCAP_222_3
0.1993	0.0003374	0.1993	0.0003374	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium;CCALA_333
0	0	2.427	0.004109	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis
0.0309	5.23e-05	0.0309	5.23e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Neocystis
0	0	1.003	0.001698	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coccomyxa
