LWR	fract	aLWR	afract	taxopath
1.308	0.002057	635.9	1	Eukaryota
5.597	0.008801	292.1	0.4594	Eukaryota;Opisthokonta
5.575	0.008768	208	0.3271	Eukaryota;Opisthokonta;Nucletmycea
4.749	0.007468	202.3	0.3182	Eukaryota;Opisthokonta;Nucletmycea;Fungi
0	0	0.09444	0.0001485	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota
0	0	0.09444	0.0001485	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae_Sedis
0	0	0.09444	0.0001485	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae_Sedis;Neocallimastigomycetes
0	0	0.09444	0.0001485	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae_Sedis;Neocallimastigomycetes;Neocallimastigales
0.09444	0.0001485	0.09444	0.0001485	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae_Sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae
0	0	26.71	0.042	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota
0	0	26.71	0.042	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis
10.09	0.01587	26.71	0.042	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes
0	0	2.329	0.003663	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales
0	0	0.3378	0.0005312	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae
0.3378	0.0005312	0.3378	0.0005312	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae;Olpidium
0.57	0.0008963	0.9985	0.00157	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae
0.05141	8.085e-05	0.05141	8.085e-05	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Phlyctochytrium
