LWR	fract	aLWR	afract	taxopath
5.017	0.007866	637.8	1	Eukaryota
0.8107	0.001271	293.2	0.4597	Eukaryota;Opisthokonta
2.714	0.004255	213.6	0.3349	Eukaryota;Opisthokonta;Nucletmycea
4.503	0.00706	209.6	0.3287	Eukaryota;Opisthokonta;Nucletmycea;Fungi
0	0	29.01	0.04549	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota
0	0	29.01	0.04549	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis
11.27	0.01766	29.01	0.04549	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes
0	0	4.027	0.006313	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales
0	0	2.08	0.00326	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae
2.08	0.00326	2.08	0.00326	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae;Olpidium
0.6161	0.000966	0.9831	0.001541	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae
0	0	0.3669	0.0005753	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces
0.3669	0.0005753	0.3669	0.0005753	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;tanneri
0.4443	0.0006966	0.9641	0.001512	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae
0.2896	0.0004541	0.2896	0.0004541	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Phlyctochytrium
0	0	0.2302	0.0003609	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces
0.2302	0.0003609	0.2302	0.0003609	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;acuminatus
0	0	0.4086	0.0006407	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Lobulomycetales
0.4086	0.0006407	0.4086	0.0006407	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae
0	0	1	0.001568	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales
0	0	1	0.001568	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae
1	0.001568	1	0.001568	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella
3.974	0.00623	8.608	0.0135	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales
1.134	0.001778	4.634	0.007265	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae
1.704	0.002672	3.5	0.005487	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium
