LWR	fract	aLWR	afract	taxopath
5.994	0.009441	634.9	1	Eukaryota
1.282	0.002019	285.2	0.4493	Eukaryota;Opisthokonta
0	0	72.59	0.1143	Eukaryota;Opisthokonta;Holozoa
0	0	71.59	0.1128	Eukaryota;Opisthokonta;Holozoa;Metazoa
0	0	71.59	0.1128	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia
0	0	71.59	0.1128	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa
0.4744	0.0007473	71.59	0.1128	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria
0.03579	5.638e-05	47.97	0.07556	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda
2.668	0.004202	34.95	0.05505	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea
8.395	0.01322	9.985	0.01573	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
0	0	0.2306	0.0003632	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditis
0.2306	0.0003632	0.2306	0.0003632	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditis;terricola
0	0	0.3389	0.0005338	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditophanes
0.3389	0.0005338	0.3389	0.0005338	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditophanes;KR3021
0.007062	1.112e-05	0.007062	1.112e-05	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Mesorhabditis
0.4081	0.0006427	0.4414	0.0006953	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus
0.01318	2.076e-05	0.01318	2.076e-05	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;oxyuroides
0.01978	3.116e-05	0.01978	3.116e-05	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;oxyuroides_JH2004
0.0004158	6.549e-07	0.0004158	6.549e-07	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;striatus
0	0	4.176e-05	6.577e-08	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Hyaloperonospora
4.176e-05	6.577e-08	4.176e-05	6.577e-08	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Hyaloperonospora;arabidopsidis
0.005875	9.254e-06	0.005875	9.254e-06	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Heterorhabditis
0	0	0.01044	1.644e-05	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Aelurostrongylus
0.01044	1.644e-05	0.01044	1.644e-05	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Aelurostrongylus;abstrusus
0.5538	0.0008723	0.5539	0.0008724	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Oscheius
3.33e-05	5.244e-08	3.33e-05	5.244e-08	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Oscheius;MCB
0	0	0.001841	2.899e-06	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Chiloplacus
0.001841	2.899e-06	0.001841	2.899e-06	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Chiloplacus;propinquus
7.379	0.01162	13.98	0.02202	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Tylenchida
