LWR	fract	aLWR	afract	taxopath
2.33	0.003951	589.8	1	Eukaryota
0	0	34.41	0.05835	Eukaryota;Archaeplastida
0.1013	0.0001718	34.19	0.05798	Eukaryota;Archaeplastida;Chloroplastida
1.939	0.003287	28.49	0.04831	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta
1.105	0.001873	8.103	0.01374	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae
0.983	0.001667	1.506	0.002553	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales
0.1622	0.0002751	0.2636	0.0004469	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus
0.02258	3.828e-05	0.02258	3.828e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus;bacillaris
0.07877	0.0001336	0.07877	0.0001336	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcus;minutus
0	0	0.1909	0.0003236	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Desmococcus
0.1909	0.0003236	0.1909	0.0003236	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Desmococcus;olivaceus
0	0	0.06849	0.0001161	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliella
0.06849	0.0001161	0.06849	0.0001161	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliella;sempervirens
0	0	0.1726	0.0002927	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Spongiococcum
0.1726	0.0002927	0.1726	0.0002927	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Spongiococcum;tetrasporum
0.1979	0.0003355	0.1979	0.0003355	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;BCP_EM3VF21
0.1979	0.0003355	0.5936	0.001006	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium
0.1979	0.0003355	0.1979	0.0003355	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium;CCALA_333
0.1979	0.0003355	0.1979	0.0003355	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Dictyosphaerium;CCAP_222_3
0	0	2.433	0.004126	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis
0	0	0.9926	0.001683	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Parietochloris
0.9926	0.001683	0.9926	0.001683	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Parietochloris;alveolaris
0	0	0.02853	4.837e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coenocystis
0.02853	4.837e-05	0.02853	4.837e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coenocystis;inconstans
0.02822	4.785e-05	0.02822	4.785e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Neocystis
0	0	0.3846	0.0006521	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Muriella
0.3846	0.0006521	0.3846	0.0006521	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Muriella;terrestris
0	0	0.9993	0.001694	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coccomyxa
0.9993	0.001694	0.9993	0.001694	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Incertae_Sedis;Coccomyxa;simplex
0	0	0.09613	0.000163	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Muriella
0.09613	0.000163	0.09613	0.000163	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Muriella;BCP_ANP1VF4
0.4968	0.0008424	0.9998	0.001695	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium
0.1484	0.0002516	0.1484	0.0002516	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;SAG2055
0.2968	0.0005032	0.2968	0.0005032	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;saccharophilum
0.05779	9.799e-05	0.05779	9.799e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chloroidium;ellipsoideum
0	0	0.9995	0.001695	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales
0.332	0.0005629	0.9995	0.001695	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales;Leptosira
0.3337	0.0005659	0.3337	0.0005659	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales;Leptosira;obovata
0.3337	0.0005659	0.3337	0.0005659	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Ctenocladales;Leptosira;erumpens
2.222	0.003768	17.45	0.02959	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae
1.911	0.003241	9.624	0.01632	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales
0	0	0.1256	0.000213	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonas
0.006674	1.132e-05	0.006674	1.132e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonas;sordida
0.118	0.0002002	0.118	0.0002002	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonas;typica
0.0008826	1.496e-06	0.0008826	1.496e-06	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonas;rapa
0.9388	0.001592	3.357	0.005692	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis
0.9888	0.001677	0.9888	0.001677	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;sarcinalis
-4.869e-17	-8.256e-20	-4.869e-17	-8.256e-20	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;pampae
0.1682	0.0002852	0.1682	0.0002852	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;vinatzeri
0.3359	0.0005695	0.3359	0.0005695	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;excentrica
0.1681	0.000285	0.1681	0.000285	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;texensis
0.7571	0.001284	0.7571	0.001284	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Tetracystis;diplobionticoidea
0.06876	0.0001166	0.4456	0.0007556	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Heterochlamydomonas
0.3309	0.0005611	0.3309	0.0005611	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Heterochlamydomonas;lobata
0.04597	7.795e-05	0.04597	7.795e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Heterochlamydomonas;inaequalis
0	0	0.9441	0.001601	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Hamakko
0.9441	0.001601	0.9441	0.001601	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Hamakko;caudatus
0.9182	0.001557	1.653	0.002803	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum
0.1449	0.0002456	0.1449	0.0002456	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;oleofaciens
0.1449	0.0002456	0.1449	0.0002456	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;elkhartiense
0.1449	0.0002456	0.1449	0.0002456	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;sphacosum
0.101	0.0001713	0.101	0.0001713	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;polymorphum
0.1009	0.0001711	0.1009	0.0001711	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;hypnosporum
0.09868	0.0001673	0.09868	0.0001673	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcum;echinozygotum
0	0	0.998	0.001692	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Spongiochloris
0.998	0.001692	0.998	0.001692	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Spongiochloris;spongiosa
0	0	0.01311	2.223e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Lobochlamys
0.01311	2.223e-05	0.01311	2.223e-05	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Lobochlamys;culleus
0	0	0.00503	8.529e-06	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Ettlia
0.00503	8.529e-06	0.00503	8.529e-06	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Ettlia;minuta
0	0	0.1714	0.0002907	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Fasciculochloris
