LWR	fract	aLWR	afract	taxopath
1.998	0.003385	590.4	1	Eukaryota
0	0	34.22	0.05796	Eukaryota;Archaeplastida
0.01445	2.447e-05	34.04	0.05766	Eukaryota;Archaeplastida;Chloroplastida
0.0003083	5.221e-07	5.527	0.009361	Eukaryota;Archaeplastida;Chloroplastida;Charophyta
0	0	5.527	0.009361	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
0	0	4.527	0.007668	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta
0.000718	1.216e-06	4.527	0.007668	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta
0	0	3.765	0.006376	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta
0	0	3.765	0.006376	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta
0.0007712	1.306e-06	3.765	0.006376	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta
0.2006	0.0003398	0.7641	0.001294	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales
0.2114	0.000358	0.5634	0.0009543	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales;Diplostephium
0.1173	0.0001988	0.1173	0.0001988	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales;Diplostephium;lechleri
0.1173	0.0001988	0.1173	0.0001988	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales;Diplostephium;jenesanum
0.1173	0.0001988	0.1173	0.0001988	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales;Diplostephium;oblongifolium
0.003437	5.821e-06	2	0.003387	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales
0.7264	0.00123	1.996	0.003381	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Brassica
0	0	1.062	0.001798	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Brassica;napus
1.062	0.001798	1.062	0.001798	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Brassica;napus;rape
0.2084	0.000353	0.2084	0.000353	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Brassica;oleracea
0	0	0.9999	0.001694	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida
