LWR	fract	aLWR	afract	taxopath
3.555	0.005609	633.9	1	Eukaryota
1.547	0.002441	292.8	0.4619	Eukaryota;Opisthokonta
2.848	0.004493	212.9	0.3359	Eukaryota;Opisthokonta;Nucletmycea
1.105	0.001743	208.9	0.3295	Eukaryota;Opisthokonta;Nucletmycea;Fungi
0	0	29.42	0.04641	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota
0	0	29.42	0.04641	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis
11.52	0.01818	29.42	0.04641	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes
0	0	3.674	0.005796	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales
0	0	1.736	0.002738	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae
1.736	0.002738	1.736	0.002738	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Olpidiaceae;Olpidium
0.5929	0.0009354	0.9908	0.001563	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae
0	0	0.3979	0.0006277	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces
0.3979	0.0006277	0.3979	0.0006277	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;tanneri
0.4383	0.0006915	0.9475	0.001495	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae
0.2864	0.0004517	0.2864	0.0004517	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Phlyctochytrium
0	0	0.2228	0.0003515	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces
0.2228	0.0003515	0.2228	0.0003515	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;acuminatus
0	0	1.515	0.00239	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Lobulomycetales
1.515	0.00239	1.515	0.00239	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae
4.152	0.00655	8.055	0.01271	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales
1.037	0.001636	3.903	0.006157	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae
0.8948	0.001412	2.866	0.004521	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae_Sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium
