LWR	fract	aLWR	afract	taxopath
3.489	0.005501	634.2	1	Eukaryota
1.505	0.002373	293	0.4621	Eukaryota;Opisthokonta
0	0	72.65	0.1146	Eukaryota;Opisthokonta;Holozoa
0	0	71.66	0.113	Eukaryota;Opisthokonta;Holozoa;Metazoa
0	0	71.66	0.113	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia
0	0	71.66	0.113	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa
0.4954	0.0007811	71.66	0.113	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria
0.09574	0.000151	47.81	0.07539	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda
1.44	0.00227	34.74	0.05477	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea
5.376	0.008477	9.994	0.01576	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
0	0	0.1753	0.0002764	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditis
0.1753	0.0002764	0.1753	0.0002764	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditis;terricola
0	0	0.9991	0.001575	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditophanes
0.9991	0.001575	0.9991	0.001575	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Rhabditophanes;KR3021
0.9805	0.001546	0.9805	0.001546	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Mesorhabditis
0.4975	0.0007844	1.252	0.001974	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus
0.7513	0.001185	0.7513	0.001185	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;striatus
0.001906	3.005e-06	0.001906	3.005e-06	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;oxyuroides_JH2004
0.001187	1.872e-06	0.001187	1.872e-06	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Eucephalobus;oxyuroides
0.6917	0.001091	0.6917	0.001091	Eukaryota;Opisthokonta;Holozoa;Metazoa;Animalia;Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida;Oscheius
