Sequence	LWR_max	LWR_placed	EDPL	wd_bu	wd_pl
c-1030_conseq_Otu00449_3_1588_bp	0.999902	0.999902	0	0	0
c-1065_conseq_Otu00003_1281_1588_bp	0.000217	0.000217	0.449038	0.359311	29.3742
c-1073_conseq_Otu00431_3_1588_bp	0.999992	0.999992	0	0	0
c-112_conseq_Otu00106_18_1588_bp	0.996598	0.996598	0	0	0
c-1164_conseq_Otu00032_77_1588_bp	0.898897	0.898897	0.00289097	0	0.100326
c-1182_conseq_Otu00244_6_1588_bp	0.200308	0.200308	0.00369841	0.000203062	1.19931
c-1236_conseq_Otu00093_21_1588_bp	0.89435	0.89435	0.000299928	0	0.1038
c-1330_conseq_Otu00083_24_1588_bp	0.626562	0.626562	0.0122714	0.00141151	0.495858
c-1347_conseq_Otu00288_5_1588_bp	0.37935	0.37935	0.0295342	0	0.62065
c-1435_conseq_Otu00013_316_1588_bp	0.329623	0.329623	0.0110104	8.58065e-05	0.684352
c-1449_conseq_Otu00044_50_1588_bp	0.617968	0.617968	0.00866213	0	0.381702
c-1565_conseq_Otu00190_9_1588_bp	0.260445	0.260445	0.0597991	0.0143786	2.84213
c-1597_conseq_Otu00464_3_1588_bp	0.990814	0.990814	0	0	0
c-1639_conseq_Otu00133_13_1588_bp	0.191877	0.191877	0.00835162	0.000431996	1.34705
c-1708_conseq_Otu00028_101_1588_bp	0.112094	0.112034	0.00893171	0.000731649	1.3283
c-1714_conseq_Otu00165_11_1588_bp	0.986442	0.986442	1.40943e-08	0	0.007144
c-1736_conseq_Otu00126_14_1588_bp	0.457405	0.457405	0.0238878	0	0.542595
c-1764_conseq_Otu00216_8_1588_bp	0.111152	0.111152	0.00124521	0.000431782	1.33325
c-1812_conseq_Otu00280_5_1588_bp	0.300911	0.300911	0.00617079	0.000256305	0.781694
c-1814_conseq_Otu00055_42_1588_bp	1	1	0	0	0
c-1845_conseq_Otu00306_4_1588_bp	0.415727	0.415727	0.0145431	0.00139965	0.78395
c-1889_conseq_Otu00342_4_1588_bp	0.200144	0.199961	0.00507742	0	0.800039
c-1913_conseq_Otu00043_53_1588_bp	0.19994	0.199927	0.000347588	3.99676e-07	1.19905
c-1973_conseq_Otu00047_46_1588_bp	0.99997	0.99997	0	0	0
c-1977_conseq_Otu00006_773_1588_bp	0.333864	0.333864	0.00531842	0	0.663004
c-2001_conseq_Otu00239_7_1588_bp	0.46898	0.46898	0.0566655	0	0.53102
c-2016_conseq_Otu00099_20_1588_bp	0.461085	0.461085	0.0691509	0	0.538915
c-204_conseq_Otu00305_4_1588_bp	1	1	0	0	0
c-2056_conseq_Otu00208_8_1588_bp	0.446804	0.446804	0.0853728	0	0.553195
c-2077_conseq_Otu00343_4_1588_bp	0.999857	0.999857	0	0	0
c-2101_conseq_Otu00016_219_1588_bp	0.200116	0.200116	0.00384736	0.00142971	1.19814
c-2109_conseq_Otu00045_50_1588_bp	0.999999	0.999999	0	0	0
c-2129_conseq_Otu00467_3_1588_bp	0.54163	0.54163	0.0119728	0.00055644	0.571496
c-2182_conseq_Otu00027_105_1588_bp	0.061249	0.061249	0.0140993	0.0112314	5.30674
c-2213_conseq_Otu00048_46_1588_bp	0.320009	0.320009	0.00459515	0.000188365	0.719956
c-224_conseq_Otu00234_7_1588_bp	0.99597	0.99597	0	0	0
c-2251_conseq_Otu00085_23_1588_bp	1	1	0	0	0
c-2326_conseq_Otu00024_107_1588_bp	0.709546	0.709546	0.00538792	0	0.290145
c-2351_conseq_Otu00102_19_1588_bp	0.999824	0.999824	0	0	0
c-2359_conseq_Otu00275_5_1588_bp	0.620319	0.620319	0.0233307	0	0.37949
c-2360_conseq_Otu00089_22_1588_bp	0.20001	0.20001	0.0146337	3.99978e-07	1.19997
c-2372_conseq_Otu00344_4_1588_bp	1	1	0	0	0
c-2373_conseq_Otu00070_28_1588_bp	0.533574	0.533574	0.0394387	0	0.464659
c-2395_conseq_Otu00010_402_1588_bp	1	1	0	0	0
c-2415_conseq_Otu00284_5_1588_bp	0.995014	0.995014	0	0	0
c-2420_conseq_Otu00132_14_1588_bp	0.477435	0.477435	0.00801283	0	0.522565
c-2505_conseq_Otu00046_47_1588_bp	0.111044	0.111044	0.0110971	4.44053e-07	1.33215
c-2520_conseq_Otu00001_6416_1588_bp	0.201229	0.201211	0.0204133	0	0.798686
c-257_conseq_Otu00131_14_1588_bp	0.18421	0.18421	0.00851953	0.00393094	1.65172
c-2629_conseq_Otu00229_7_1588_bp	0.108809	0.108809	0.00542334	0.000568773	2.26294
c-2751_conseq_Otu00168_11_1588_bp	0.624868	0.624868	0.0306386	0.00402909	0.930416
c-2785_conseq_Otu00114_16_1588_bp	0.999999	0.999999	0	0	0
c-2786_conseq_Otu00268_6_1588_bp	0.545841	0.545841	0.0126022	0.000921355	0.659376
c-281_conseq_Otu00242_6_1588_bp	0.154448	0.154448	0.0401231	0.0116498	4.46084
c-2896_conseq_Otu00261_6_1588_bp	0.763172	0.763172	0.0660489	0	0.234492
c-307_conseq_Otu00241_6_1588_bp	0.426302	0.426302	0.0396237	0	0.564346
c-3206_conseq_Otu00098_20_1588_bp	0.814532	0.814532	0.00149891	4.4673e-08	0.230142
c-3464_conseq_Otu00310_4_1588_bp	0.662987	0.662987	0.0140242	0	0.336984
c-3514_conseq_Otu00345_4_1588_bp	0.960929	0.960929	0.000330328	0	0.037563
c-366_conseq_Otu00300_5_1588_bp	0.999999	0.999999	0	0	0
c-3676_conseq_Otu00196_9_1588_bp	0.997247	0.997247	0	0	0
c-372_conseq_Otu00117_16_1588_bp	0.398522	0.398522	0.0497786	0	0.597712
c-3731_conseq_Otu00301_5_1588_bp	0.310231	0.310231	0.000824808	0	0.687572
c-3908_conseq_Otu00293_5_1588_bp	0.999926	0.999926	0	0	0
c-3956_conseq_Otu00134_13_1588_bp	0.339181	0.339181	0.00343528	0	0.660754
c-3965_conseq_Otu00331_4_1588_bp	0.896501	0.896501	0.004279	0	0.102948
c-404_conseq_Otu00068_30_1588_bp	0.199792	0.199792	0.000375192	3.99272e-07	1.19802
c-410_conseq_Otu00084_23_1588_bp	0.200021	0.200021	0.00145539	0.000542055	1.1999
c-4180_conseq_Otu00042_53_1588_bp	0.753141	0.753141	0.0235575	0.000937947	0.369506
c-423_conseq_Otu00155_11_1588_bp	1	1	0	0	0
c-431_conseq_Otu00124_15_1588_bp	0.999555	0.999555	0	0	0
c-4331_conseq_Otu00056_35_1588_bp	0.592549	0.592549	0.00461819	0.00096058	0.848944
c-4430_conseq_Otu00468_3_1588_bp	0.969264	0.969264	0.000218599	0	0.02464
c-4551_conseq_Otu00204_8_1588_bp	0.9901	0.9901	0	0	0
c-4567_conseq_Otu00030_90_1588_bp	0.200378	0.200316	0.0042243	0.00020761	1.19878
c-463_conseq_Otu00236_7_1588_bp	0.772237	0.772237	0.0219172	0	0.225742
c-4670_conseq_Otu00008_588_1588_bp	0.200084	0.200084	1.43995e-06	3.99958e-07	1.19987
c-4706_conseq_Otu00213_8_1588_bp	0.910749	0.910749	0.00171922	3.1651e-08	0.112196
c-474_conseq_Otu00105_18_1588_bp	0.072457	0.072437	0.00863415	0.00306631	2.22893
c-4816_conseq_Otu00181_9_1588_bp	0.470734	0.470734	0.0250246	0	0.528326
c-4855_conseq_Otu00231_7_1588_bp	0.997049	0.997049	0	0	0
c-4893_conseq_Otu00115_16_1588_bp	0.792261	0.792261	0.00361561	0	0.201809
c-4930_conseq_Otu00060_33_1588_bp	0.145189	0.143209	0.00368922	2.90378e-07	1.14678
c-5093_conseq_Otu00038_64_1588_bp	0.117979	0.117979	0.0090242	0.000359115	1.54434
