Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.0005,"[0, 0.0005)",279,0.429231,279,0.429231
1,0.0005,0.001,"[0.0005, 0.001)",36,0.0553846,315,0.484615
2,0.001,0.0015,"[0.001, 0.0015)",41,0.0630769,356,0.547692
3,0.0015,0.002,"[0.0015, 0.002)",18,0.0276923,374,0.575385
4,0.002,0.0025,"[0.002, 0.0025)",33,0.0507692,407,0.626154
5,0.0025,0.003,"[0.0025, 0.003)",14,0.0215385,421,0.647692
6,0.003,0.0035,"[0.003, 0.0035)",22,0.0338462,443,0.681538
7,0.0035,0.004,"[0.0035, 0.004)",13,0.02,456,0.701538
8,0.004,0.0045,"[0.004, 0.0045)",9,0.0138462,465,0.715385
9,0.0045,0.005,"[0.0045, 0.005)",9,0.0138462,474,0.729231
10,0.005,0.0055,"[0.005, 0.0055)",12,0.0184615,486,0.747692
11,0.0055,0.006,"[0.0055, 0.006)",14,0.0215385,500,0.769231
12,0.006,0.0065,"[0.006, 0.0065)",10,0.0153846,510,0.784615
13,0.0065,0.007,"[0.0065, 0.007)",11,0.0169231,521,0.801538
14,0.007,0.0075,"[0.007, 0.0075)",12,0.0184615,533,0.82
15,0.0075,0.008,"[0.0075, 0.008)",4,0.00615385,537,0.826154
16,0.008,0.0085,"[0.008, 0.0085)",4,0.00615385,541,0.832308
17,0.0085,0.009,"[0.0085, 0.009)",5,0.00769231,546,0.84
18,0.009,0.0095,"[0.009, 0.0095)",3,0.00461538,549,0.844615
19,0.0095,0.01,"[0.0095, 0.01)",101,0.155385,650,1
