Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.05,"[0, 0.05)",15,78,100,105,126,0.0230769,0.183099,0.263852,0.406977,0.547826,15,78,100,105,126,0.0230769,0.183099,0.263852,0.406977,0.547826
1,0.05,0.1,"[0.05, 0.1)",19,61,75,61,31,0.0292308,0.143192,0.197889,0.236434,0.134783,34,139,175,166,157,0.0523077,0.326291,0.461741,0.643411,0.682609
2,0.1,0.15,"[0.1, 0.15)",40,65,64,51,42,0.0615385,0.152582,0.168865,0.197674,0.182609,74,204,239,217,199,0.113846,0.478873,0.630607,0.841085,0.865217
3,0.15,0.2,"[0.15, 0.2)",23,57,44,28,31,0.0353846,0.133803,0.116095,0.108527,0.134783,97,261,283,245,230,0.149231,0.612676,0.746702,0.949612,1
4,0.2,0.25,"[0.2, 0.25)",43,59,43,13,0,0.0661538,0.138498,0.113456,0.0503876,0,140,320,326,258,230,0.215385,0.751174,0.860158,1,1
5,0.25,0.3,"[0.25, 0.3)",18,27,19,0,0,0.0276923,0.0633803,0.0501319,0,0,158,347,345,258,230,0.243077,0.814554,0.91029,1,1
6,0.3,0.35,"[0.3, 0.35)",38,55,34,0,0,0.0584615,0.129108,0.0897098,0,0,196,402,379,258,230,0.301538,0.943662,1,1,1
7,0.35,0.4,"[0.35, 0.4)",23,12,0,0,0,0.0353846,0.028169,0,0,0,219,414,379,258,230,0.336923,0.971831,1,1,1
8,0.4,0.45,"[0.4, 0.45)",20,5,0,0,0,0.0307692,0.0117371,0,0,0,239,419,379,258,230,0.367692,0.983568,1,1,1
9,0.45,0.5,"[0.45, 0.5)",17,7,0,0,0,0.0261538,0.0164319,0,0,0,256,426,379,258,230,0.393846,1,1,1,1
10,0.5,0.55,"[0.5, 0.55)",15,0,0,0,0,0.0230769,0,0,0,0,271,426,379,258,230,0.416923,1,1,1,1
11,0.55,0.6,"[0.55, 0.6)",17,0,0,0,0,0.0261538,0,0,0,0,288,426,379,258,230,0.443077,1,1,1,1
12,0.6,0.65,"[0.6, 0.65)",15,0,0,0,0,0.0230769,0,0,0,0,303,426,379,258,230,0.466154,1,1,1,1
13,0.65,0.7,"[0.65, 0.7)",15,0,0,0,0,0.0230769,0,0,0,0,318,426,379,258,230,0.489231,1,1,1,1
14,0.7,0.75,"[0.7, 0.75)",12,0,0,0,0,0.0184615,0,0,0,0,330,426,379,258,230,0.507692,1,1,1,1
15,0.75,0.8,"[0.75, 0.8)",14,0,0,0,0,0.0215385,0,0,0,0,344,426,379,258,230,0.529231,1,1,1,1
16,0.8,0.85,"[0.8, 0.85)",18,0,0,0,0,0.0276923,0,0,0,0,362,426,379,258,230,0.556923,1,1,1,1
17,0.85,0.9,"[0.85, 0.9)",11,0,0,0,0,0.0169231,0,0,0,0,373,426,379,258,230,0.573846,1,1,1,1
18,0.9,0.95,"[0.9, 0.95)",27,0,0,0,0,0.0415385,0,0,0,0,400,426,379,258,230,0.615385,1,1,1,1
19,0.95,1,"[0.95, 1)",250,0,0,0,0,0.384615,0,0,0,0,650,426,379,258,230,1,1,1,1,1
