Sample,Pquery,Weight,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,m54088_170216_085445_38798233_ccs_Otu00600_2_1588_bp,1,0.35066,0.331086,0.299266,0,0
epa_result,c-3956_conseq_Otu00134_13_1588_bp,1,0.34048,0.334544,0.324931,0,0
epa_result,c-6926_conseq_Otu00100_20_1588_bp,1,0.999969,0,0,0,0
epa_result,c-2372_conseq_Otu00344_4_1588_bp,1,1,0,0,0,0
epa_result,c-1639_conseq_Otu00133_13_1588_bp,1,0.999958,0,0,0,0
epa_result,m54032_170210_154134_42729615_ccs_Otu00395_3_1588_bp,1,0.144056,0.144056,0.143776,0.143466,0.14332
epa_result,c-8541_conseq_Otu00127_14_1588_bp,1,0.33591,0.335709,0.328381,0,0
epa_result,m54088_170216_085445_19137150_ccs_Otu00444_3_1588_bp,1,0.249561,0.249427,0.246819,0.246549,0
epa_result,c-2786_conseq_Otu00268_6_1588_bp,1,0.830409,0.13384,0.020345,0,0
epa_result,m54088_170216_085445_54592263_ccs_Otu00609_2_1588_bp,1,0.022506,0.020369,0.020337,0.018513,0.015143
epa_result,c-5485_conseq_Otu00128_14_1588_bp,1,0.914951,0.025315,0.021113,0.020858,0.017619
epa_result,m54088_170216_085445_44302653_ccs_Otu00597_2_1588_bp,1,0.99998,0,0,0,0
epa_result,m54088_170216_085445_52691947_ccs_Otu00207_8_1588_bp,1,1,0,0,0,0
epa_result,m54032_170210_154134_6684917_ccs_Otu00177_10_1588_bp,1,0.223773,0.218522,0.218495,0.194747,0.144463
epa_result,m54032_170210_154134_25166565_ccs_Otu00446_3_1588_bp,1,0.61499,0.142117,0.106835,0.095054,0.037429
epa_result,m54032_170210_154134_30671731_ccs_Otu00560_2_1588_bp,1,0.471416,0.153549,0.137755,0.124818,0.112461
epa_result,c-8446_conseq_Otu00021_157_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_21495958_ccs_Otu00291_5_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_71631554_ccs_Otu00603_2_1588_bp,1,0.101559,0.101559,0.100405,0.077946,0.077808
epa_result,m54088_170216_085445_55640456_ccs_Otu00313_4_1588_bp,1,0.390038,0.220261,0.113157,0.106466,0.086515
epa_result,m54032_170210_154134_19595523_ccs_Otu00529_2_1588_bp,1,0.770149,0.227464,0,0,0
epa_result,c-786_conseq_Otu00440_3_1588_bp,1,0.096609,0.086432,0.032359,0.030192,0.011904
epa_result,m54088_170216_085445_51053085_ccs_Otu00376_3_1588_bp,1,0.992001,0,0,0,0
epa_result,c-9230_conseq_Otu00285_5_1588_bp,1,0.248193,0.034826,0.027124,0.024546,0.023922
epa_result,m54088_170216_085445_64618868_ccs_Otu00599_2_1588_bp,1,0.13265,0.132586,0.083062,0.070904,0.011396
epa_result,m54088_170216_085445_41878422_ccs_Otu00414_3_1588_bp,1,0.027057,0.025942,0.023472,0.022997,0.018501
epa_result,m54088_170214_101554_9306600_ccs_Otu00477_2_1588_bp,1,0.999999,0,0,0,0
epa_result,m54088_170216_085445_22741555_ccs_Otu00569_2_1588_bp,1,0.999477,0,0,0,0
epa_result,m54088_170216_085445_67043611_ccs_Otu00413_3_1588_bp,1,0.044215,0.044189,0.044157,0.039157,0.027845
epa_result,m54088_170214_101554_55181446_ccs_Otu00475_2_1588_bp,1,0.162395,0.159889,0.068109,0.066606,0.053598
epa_result,m54088_170216_085445_30802413_ccs_Otu00129_14_1588_bp,1,0.148181,0.148181,0.148181,0.148181,0.148181
epa_result,c-5922_conseq_Otu00173_10_1588_bp,1,0.166686,0.166618,0.166312,0.16616,0.096327
epa_result,m54088_170216_085445_36438951_ccs_Otu00351_4_1588_bp,1,0.201985,0.201985,0.200317,0.198703,0.194831
epa_result,m54088_170216_085445_50594320_ccs_Otu00269_6_1588_bp,1,0.334735,0.334608,0.330657,0,0
epa_result,m54088_170214_101554_67044099_ccs_Otu00608_2_1588_bp,1,0.303306,0.218079,0.059281,0.04821,0.02798
epa_result,c-1977_conseq_Otu00006_773_1588_bp,1,0.335145,0.332972,0.328924,0,0
epa_result,m54088_170216_085445_28770867_ccs_Otu00361_3_1588_bp,1,1,0,0,0,0
epa_result,c-2016_conseq_Otu00099_20_1588_bp,1,0.999803,0,0,0,0
epa_result,c-7549_conseq_Otu00148_12_1588_bp,1,0.998269,0,0,0,0
epa_result,m54088_170216_085445_42336553_ccs_Otu00448_3_1588_bp,1,0.999034,0,0,0,0
epa_result,m54088_170214_101554_21889432_ccs_Otu00304_5_1588_bp,1,0.349808,0.170819,0.168971,0.157051,0.15335
epa_result,m54088_170216_085445_43778558_ccs_Otu00341_4_1588_bp,1,0.995065,0,0,0,0
epa_result,m54088_170216_085445_73269546_ccs_Otu00587_2_1588_bp,1,0.899735,0.094785,0,0,0
epa_result,m54032_170210_154134_36569815_ccs_Otu00626_2_1588_bp,1,0.536532,0.253008,0.184974,0.020292,0
epa_result,c-6143_conseq_Otu00240_6_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_54854424_ccs_Otu00615_2_1588_bp,1,0.282303,0.239353,0.238349,0.136772,0.100723
epa_result,m54088_170214_101554_57541528_ccs_Otu00292_5_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_39059933_ccs_Otu00559_2_1588_bp,1,0.408946,0.176345,0.161523,0.145376,0.069835
epa_result,m54032_170210_154134_64422483_ccs_Otu00405_3_1588_bp,1,0.247866,0.22969,0.200707,0.129598,0.128629
epa_result,m54088_170216_085445_61800849_ccs_Otu00075_25_1588_bp,1,0.494902,0.482586,0.014221,0,0
epa_result,m54088_170216_085445_46924579_ccs_Otu00601_2_1588_bp,1,0.980375,0.012296,0,0,0
epa_result,m54088_170216_085445_31392396_ccs_Otu00120_16_1588_bp,1,0.442592,0.270727,0.133415,0.132795,0.01884
epa_result,m54032_170210_154134_15401940_ccs_Otu00139_13_1588_bp,1,0.354407,0.176588,0.083152,0.08192,0.019206
epa_result,c-8839_conseq_Otu00090_22_1588_bp,1,0.285292,0.22319,0.061776,0.040505,0.026528
epa_result,c-8387_conseq_Otu00135_13_1588_bp,1,0.487054,0.234214,0.221969,0.014821,0.014819
epa_result,m54088_170216_085445_60293256_ccs_Otu00349_4_1588_bp,1,0.332558,0.332558,0.33064,0,0
epa_result,m54088_170214_101554_5898454_ccs_Otu00136_13_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_71893500_ccs_Otu00356_4_1588_bp,1,0.602938,0.179026,0.136669,0.055421,0.019245
epa_result,m54088_170216_085445_30343794_ccs_Otu00243_6_1588_bp,1,0.920242,0.045156,0.034602,0,0
epa_result,m54088_170216_085445_67503046_ccs_Otu00501_2_1588_bp,1,0.199301,0.199301,0.199301,0.199301,0.197748
epa_result,m54088_170216_085445_22216834_ccs_Otu00437_3_1588_bp,1,0.332667,0.332645,0.318267,0,0
epa_result,c-648_conseq_Otu00346_4_1588_bp,1,0.542359,0.289937,0.09467,0.072946,0
epa_result,c-2505_conseq_Otu00046_47_1588_bp,1,0.113916,0.113916,0.113884,0.113797,0.108968
epa_result,c-3464_conseq_Otu00310_4_1588_bp,1,0.653116,0.174645,0.172209,0,0
epa_result,m54088_170216_085445_69206793_ccs_Otu00245_6_1588_bp,1,0.090206,0.090206,0.090206,0.090206,0.089331
epa_result,c-6471_conseq_Otu00232_7_1588_bp,1,0.912217,0.073087,0,0,0
epa_result,c-7548_conseq_Otu00079_24_1588_bp,1,0.333689,0.333323,0.330481,0,0
epa_result,c-6164_conseq_Otu00017_209_1588_bp,1,0.847927,0.076626,0.075446,0,0
epa_result,c-5721_conseq_Otu00281_5_1588_bp,1,0.499466,0.496572,0,0,0
epa_result,m54088_170216_085445_65340055_ccs_Otu00490_2_1588_bp,1,0.618453,0.381543,0,0,0
epa_result,c-2056_conseq_Otu00208_8_1588_bp,1,0.999942,0,0,0,0
epa_result,m54088_170216_085445_59507136_ccs_Otu00347_4_1588_bp,1,0.588017,0.211632,0.197566,0,0
epa_result,m54088_170216_085445_25363099_ccs_Otu00144_12_1588_bp,1,0.999997,0,0,0,0
epa_result,m54088_170216_085445_61932130_ccs_Otu00211_8_1588_bp,1,0.797487,0.099857,0.081596,0.021056,0
epa_result,m54032_170210_154134_24248919_ccs_Otu00565_2_1588_bp,1,0.863683,0.13629,0,0,0
epa_result,c-224_conseq_Otu00234_7_1588_bp,1,0.971394,0.020518,0,0,0
epa_result,m54088_170216_085445_11010804_ccs_Otu00482_2_1588_bp,1,0.999456,0,0,0,0
epa_result,m54032_170210_154134_12583609_ccs_Otu00323_4_1588_bp,1,0.70458,0.278946,0.016474,0,0
epa_result,c-6410_conseq_Otu00159_11_1588_bp,1,0.587698,0.369966,0.032469,0,0
epa_result,m54088_170216_085445_69206648_ccs_Otu00366_3_1588_bp,1,0.116,0.099886,0.058766,0.01676,0.015614
epa_result,c-6351_conseq_Otu00162_11_1588_bp,1,0.332824,0.332782,0.330792,0,0
epa_result,m54088_170214_101554_38535673_ccs_Otu00071_28_1588_bp,1,0.98101,0.018988,0,0,0
epa_result,m54032_170210_154134_69206382_ccs_Otu00489_2_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_27787507_ccs_Otu00339_4_1588_bp,1,0.200461,0.200461,0.200447,0.200329,0.198302
epa_result,m54088_170216_085445_41026276_ccs_Otu00378_3_1588_bp,1,0.148624,0.085437,0.076156,0.058901,0.045386
epa_result,m54088_170214_101554_32637044_ccs_Otu00497_2_1588_bp,1,0.994684,0,0,0,0
epa_result,m54032_170210_154134_50266641_ccs_Otu00002_1322_1588_bp,1,0.075172,0.073646,0.071948,0.071948,0.071948
epa_result,c-2896_conseq_Otu00261_6_1588_bp,1,0.931749,0.02417,0.012463,0.010907,0
epa_result,m54088_170216_085445_59048878_ccs_Otu00386_3_1588_bp,1,1,0,0,0,0
epa_result,c-410_conseq_Otu00084_23_1588_bp,1,0.200409,0.200395,0.200394,0.200392,0.198407
epa_result,c-372_conseq_Otu00117_16_1588_bp,1,0.343266,0.33532,0.255604,0.045712,0.020098
epa_result,m54088_170216_085445_30146982_ccs_Otu00514_2_1588_bp,1,0.812876,0.11227,0.074853,0,0
epa_result,m54088_170214_101554_62915227_ccs_Otu00320_4_1588_bp,1,0.472436,0.468787,0.020444,0.012677,0.012203
epa_result,m54088_170216_085445_34799849_ccs_Otu00581_2_1588_bp,1,0.480251,0.220658,0.128544,0.056919,0.034475
epa_result,m54088_170216_085445_29295581_ccs_Otu00586_2_1588_bp,1,0.999999,0,0,0,0
epa_result,m54088_170216_085445_46727794_ccs_Otu00026_107_1588_bp,1,0.203367,0.203367,0.200307,0.197225,0.195648
epa_result,c-6481_conseq_Otu00179_10_1588_bp,1,0.394605,0.333774,0.271621,0,0
epa_result,c-5959_conseq_Otu00122_15_1588_bp,1,1,0,0,0,0
epa_result,c-5983_conseq_Otu00007_740_1588_bp,1,0.34438,0.33999,0.315629,0,0
epa_result,m54088_170214_101554_15926018_ccs_Otu00634_2_1588_bp,1,0.33462,0.334603,0.330764,0,0
epa_result,m54032_170210_154134_31458233_ccs_Otu00169_11_1588_bp,1,0.939578,0.03035,0.030072,0,0
