Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.005,"[0, 0.005)",474,0.729231,474,0.729231
1,0.005,0.01,"[0.005, 0.01)",81,0.124615,555,0.853846
2,0.01,0.015,"[0.01, 0.015)",33,0.0507692,588,0.904615
3,0.015,0.02,"[0.015, 0.02)",22,0.0338462,610,0.938462
4,0.02,0.025,"[0.02, 0.025)",7,0.0107692,617,0.949231
5,0.025,0.03,"[0.025, 0.03)",4,0.00615385,621,0.955385
6,0.03,0.035,"[0.03, 0.035)",4,0.00615385,625,0.961538
7,0.035,0.04,"[0.035, 0.04)",1,0.00153846,626,0.963077
8,0.04,0.045,"[0.04, 0.045)",1,0.00153846,627,0.964615
9,0.045,0.05,"[0.045, 0.05)",2,0.00307692,629,0.967692
10,0.05,0.055,"[0.05, 0.055)",2,0.00307692,631,0.970769
11,0.055,0.06,"[0.055, 0.06)",5,0.00769231,636,0.978462
12,0.06,0.065,"[0.06, 0.065)",2,0.00307692,638,0.981538
13,0.065,0.07,"[0.065, 0.07)",2,0.00307692,640,0.984615
14,0.07,0.075,"[0.07, 0.075)",2,0.00307692,642,0.987692
15,0.075,0.08,"[0.075, 0.08)",1,0.00153846,643,0.989231
16,0.08,0.085,"[0.08, 0.085)",1,0.00153846,644,0.990769
17,0.085,0.09,"[0.085, 0.09)",1,0.00153846,645,0.992308
18,0.09,0.095,"[0.09, 0.095)",0,0,645,0.992308
19,0.095,0.1,"[0.095, 0.1)",5,0.00769231,650,1
