Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.0005,"[0, 0.0005)",405,0.623077,405,0.623077
1,0.0005,0.001,"[0.0005, 0.001)",41,0.0630769,446,0.686154
2,0.001,0.0015,"[0.001, 0.0015)",31,0.0476923,477,0.733846
3,0.0015,0.002,"[0.0015, 0.002)",17,0.0261538,494,0.76
4,0.002,0.0025,"[0.002, 0.0025)",15,0.0230769,509,0.783077
5,0.0025,0.003,"[0.0025, 0.003)",9,0.0138462,518,0.796923
6,0.003,0.0035,"[0.003, 0.0035)",19,0.0292308,537,0.826154
7,0.0035,0.004,"[0.0035, 0.004)",8,0.0123077,545,0.838462
8,0.004,0.0045,"[0.004, 0.0045)",10,0.0153846,555,0.853846
9,0.0045,0.005,"[0.0045, 0.005)",6,0.00923077,561,0.863077
10,0.005,0.0055,"[0.005, 0.0055)",6,0.00923077,567,0.872308
11,0.0055,0.006,"[0.0055, 0.006)",6,0.00923077,573,0.881538
12,0.006,0.0065,"[0.006, 0.0065)",4,0.00615385,577,0.887692
13,0.0065,0.007,"[0.0065, 0.007)",6,0.00923077,583,0.896923
14,0.007,0.0075,"[0.007, 0.0075)",5,0.00769231,588,0.904615
15,0.0075,0.008,"[0.0075, 0.008)",4,0.00615385,592,0.910769
16,0.008,0.0085,"[0.008, 0.0085)",4,0.00615385,596,0.916923
17,0.0085,0.009,"[0.0085, 0.009)",2,0.00307692,598,0.92
18,0.009,0.0095,"[0.009, 0.0095)",6,0.00923077,604,0.929231
19,0.0095,0.01,"[0.0095, 0.01)",46,0.0707692,650,1
