Sample,Pquery,Weight,EDPL
epa_result,c-1030_conseq_Otu00449_3_1588_bp,1,0
epa_result,c-1845_conseq_Otu00306_4_1588_bp,1,0
epa_result,c-204_conseq_Otu00305_4_1588_bp,1,0
epa_result,c-2415_conseq_Otu00284_5_1588_bp,1,0
epa_result,c-4551_conseq_Otu00204_8_1588_bp,1,0
epa_result,c-5323_conseq_Otu00091_22_1588_bp,1,8.51601e-06
epa_result,c-6009_conseq_Otu00460_3_1588_bp,1,0
epa_result,c-6538_conseq_Otu00051_44_1588_bp,1,1.37504e-05
epa_result,c-7844_conseq_Otu00350_4_1588_bp,1,0
epa_result,c-8891_conseq_Otu00023_117_1588_bp,1,0
epa_result,m54032_170210_154134_19595523_ccs_Otu00529_2_1588_bp,1,0.000356629
epa_result,m54032_170210_154134_45679577_ccs_Otu00429_3_1588_bp,1,0.00100018
epa_result,m54032_170210_154134_65733281_ccs_Otu00555_2_1588_bp,1,0.0177501
epa_result,m54088_170214_101554_10945034_ccs_Otu00638_2_1588_bp,1,0.00257153
epa_result,m54088_170214_101554_52822462_ccs_Otu00408_3_1588_bp,1,0.00116313
epa_result,m54088_170214_101554_9306600_ccs_Otu00477_2_1588_bp,1,0
epa_result,m54088_170216_085445_14746490_ccs_Otu00535_2_1588_bp,1,0.000846918
epa_result,m54088_170216_085445_19333452_ccs_Otu00577_2_1588_bp,1,0
epa_result,m54088_170216_085445_23659089_ccs_Otu00315_4_1588_bp,1,0
epa_result,m54088_170216_085445_28770867_ccs_Otu00361_3_1588_bp,1,0
epa_result,m54088_170216_085445_32309981_ccs_Otu00450_3_1588_bp,1,0.00215324
epa_result,m54088_170216_085445_36438951_ccs_Otu00351_4_1588_bp,1,9.09014e-05
epa_result,m54088_170216_085445_40960080_ccs_Otu00417_3_1588_bp,1,0.000292267
epa_result,m54088_170216_085445_43909533_ccs_Otu00472_2_1588_bp,1,0
epa_result,m54088_170216_085445_51053085_ccs_Otu00376_3_1588_bp,1,0.00546042
epa_result,m54088_170216_085445_57803402_ccs_Otu00014_265_1588_bp,1,0
epa_result,m54088_170216_085445_64160450_ccs_Otu00636_2_1588_bp,1,0.0113151
epa_result,m54088_170216_085445_69337843_ccs_Otu00277_5_1588_bp,1,0.0011179
epa_result,c-112_conseq_Otu00106_18_1588_bp,1,0
epa_result,c-2056_conseq_Otu00208_8_1588_bp,1,0
epa_result,c-2520_conseq_Otu00001_6416_1588_bp,1,0.00323312
epa_result,c-4567_conseq_Otu00030_90_1588_bp,1,2.22789e-05
epa_result,c-5383_conseq_Otu00097_20_1588_bp,1,0.00112615
epa_result,c-6164_conseq_Otu00017_209_1588_bp,1,0
epa_result,c-6725_conseq_Otu00152_12_1588_bp,1,0.000425452
epa_result,c-8387_conseq_Otu00135_13_1588_bp,1,0.000334857
epa_result,c-906_conseq_Otu00146_12_1588_bp,1,0.00260334
epa_result,m54032_170210_154134_26214518_ccs_Otu00063_31_1588_bp,1,0.00267857
epa_result,m54032_170210_154134_65995478_ccs_Otu00607_2_1588_bp,1,0
epa_result,m54088_170214_101554_24510766_ccs_Otu00373_3_1588_bp,1,0
epa_result,m54088_170214_101554_41091495_ccs_Otu00574_2_1588_bp,1,0
epa_result,m54088_170214_101554_59769536_ccs_Otu00209_8_1588_bp,1,0
epa_result,m54088_170214_101554_8978932_ccs_Otu00632_2_1588_bp,1,0
epa_result,m54088_170216_085445_12124471_ccs_Otu00521_2_1588_bp,1,0.000378655
epa_result,m54088_170216_085445_17563730_ccs_Otu00194_9_1588_bp,1,0
epa_result,m54088_170216_085445_22348434_ccs_Otu00370_3_1588_bp,1,0
epa_result,m54088_170216_085445_28705118_ccs_Otu00104_18_1588_bp,1,0.000841761
