Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.05,"[0, 0.05)",1,77,70,70,71,0.00153846,0.232628,0.25641,0.44586,0.525926,1,77,70,70,71,0.00153846,0.232628,0.25641,0.44586,0.525926
1,0.05,0.1,"[0.05, 0.1)",2,35,54,30,19,0.00307692,0.10574,0.197802,0.191083,0.140741,3,112,124,100,90,0.00461538,0.338369,0.454212,0.636943,0.666667
2,0.1,0.15,"[0.1, 0.15)",13,40,36,26,20,0.02,0.120846,0.131868,0.165605,0.148148,16,152,160,126,110,0.0246154,0.459215,0.586081,0.802548,0.814815
3,0.15,0.2,"[0.15, 0.2)",3,34,28,22,25,0.00461538,0.102719,0.102564,0.140127,0.185185,19,186,188,148,135,0.0292308,0.561934,0.688645,0.942675,1
4,0.2,0.25,"[0.2, 0.25)",26,43,33,9,0,0.04,0.129909,0.120879,0.0573248,0,45,229,221,157,135,0.0692308,0.691843,0.809524,1,1
5,0.25,0.3,"[0.25, 0.3)",8,20,17,0,0,0.0123077,0.060423,0.0622711,0,0,53,249,238,157,135,0.0815385,0.752266,0.871795,1,1
6,0.3,0.35,"[0.3, 0.35)",43,58,35,0,0,0.0661538,0.175227,0.128205,0,0,96,307,273,157,135,0.147692,0.927492,1,1,1
7,0.35,0.4,"[0.35, 0.4)",27,15,0,0,0,0.0415385,0.0453172,0,0,0,123,322,273,157,135,0.189231,0.97281,1,1,1
8,0.4,0.45,"[0.4, 0.45)",16,6,0,0,0,0.0246154,0.0181269,0,0,0,139,328,273,157,135,0.213846,0.990937,1,1,1
9,0.45,0.5,"[0.45, 0.5)",13,3,0,0,0,0.02,0.00906344,0,0,0,152,331,273,157,135,0.233846,1,1,1,1
10,0.5,0.55,"[0.5, 0.55)",17,0,0,0,0,0.0261538,0,0,0,0,169,331,273,157,135,0.26,1,1,1,1
11,0.55,0.6,"[0.55, 0.6)",8,0,0,0,0,0.0123077,0,0,0,0,177,331,273,157,135,0.272308,1,1,1,1
12,0.6,0.65,"[0.6, 0.65)",12,0,0,0,0,0.0184615,0,0,0,0,189,331,273,157,135,0.290769,1,1,1,1
13,0.65,0.7,"[0.65, 0.7)",6,0,0,0,0,0.00923077,0,0,0,0,195,331,273,157,135,0.3,1,1,1,1
14,0.7,0.75,"[0.7, 0.75)",13,0,0,0,0,0.02,0,0,0,0,208,331,273,157,135,0.32,1,1,1,1
15,0.75,0.8,"[0.75, 0.8)",16,0,0,0,0,0.0246154,0,0,0,0,224,331,273,157,135,0.344615,1,1,1,1
16,0.8,0.85,"[0.8, 0.85)",10,0,0,0,0,0.0153846,0,0,0,0,234,331,273,157,135,0.36,1,1,1,1
17,0.85,0.9,"[0.85, 0.9)",21,0,0,0,0,0.0323077,0,0,0,0,255,331,273,157,135,0.392308,1,1,1,1
18,0.9,0.95,"[0.9, 0.95)",33,0,0,0,0,0.0507692,0,0,0,0,288,331,273,157,135,0.443077,1,1,1,1
19,0.95,1,"[0.95, 1)",362,0,0,0,0,0.556923,0,0,0,0,650,331,273,157,135,1,1,1,1,1
