Sample,Pquery,Weight,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,c-1030_conseq_Otu00449_3_1588_bp,1,1,0,0,0,0
epa_result,c-1845_conseq_Otu00306_4_1588_bp,1,0.99999,0,0,0,0
epa_result,c-204_conseq_Otu00305_4_1588_bp,1,1,0,0,0,0
epa_result,c-2415_conseq_Otu00284_5_1588_bp,1,1,0,0,0,0
epa_result,c-4551_conseq_Otu00204_8_1588_bp,1,1,0,0,0,0
epa_result,c-5323_conseq_Otu00091_22_1588_bp,1,0.111479,0.111479,0.111479,0.111479,0.111479
epa_result,c-6009_conseq_Otu00460_3_1588_bp,1,0.99922,0,0,0,0
epa_result,c-6538_conseq_Otu00051_44_1588_bp,1,0.143724,0.143724,0.143724,0.143724,0.143722
epa_result,c-7844_conseq_Otu00350_4_1588_bp,1,1,0,0,0,0
epa_result,c-8891_conseq_Otu00023_117_1588_bp,1,0.998247,0,0,0,0
epa_result,m54032_170210_154134_19595523_ccs_Otu00529_2_1588_bp,1,0.97935,0.020262,0,0,0
epa_result,m54032_170210_154134_45679577_ccs_Otu00429_3_1588_bp,1,0.342002,0.331231,0.326767,0,0
epa_result,m54032_170210_154134_65733281_ccs_Otu00555_2_1588_bp,1,0.530164,0.121234,0.089567,0.080926,0.076874
epa_result,m54088_170214_101554_10945034_ccs_Otu00638_2_1588_bp,1,0.031298,0.02878,0.019741,0.012446,0.012022
epa_result,m54088_170214_101554_52822462_ccs_Otu00408_3_1588_bp,1,0.949619,0.034156,0.010677,0,0
epa_result,m54088_170214_101554_9306600_ccs_Otu00477_2_1588_bp,1,1,0,0,0,0
epa_result,m54088_170216_085445_14746490_ccs_Otu00535_2_1588_bp,1,0.898235,0.064021,0.013459,0.012922,0.011363
epa_result,m54088_170216_085445_19333452_ccs_Otu00577_2_1588_bp,1,0.989945,0,0,0,0
epa_result,m54088_170216_085445_23659089_ccs_Otu00315_4_1588_bp,1,0.996096,0,0,0,0
epa_result,m54088_170216_085445_28770867_ccs_Otu00361_3_1588_bp,1,1,0,0,0,0
