Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.005,"[0, 0.005)",561,0.863077,561,0.863077
1,0.005,0.01,"[0.005, 0.01)",44,0.0676923,605,0.930769
2,0.01,0.015,"[0.01, 0.015)",13,0.02,618,0.950769
3,0.015,0.02,"[0.015, 0.02)",9,0.0138462,627,0.964615
4,0.02,0.025,"[0.02, 0.025)",1,0.00153846,628,0.966154
5,0.025,0.03,"[0.025, 0.03)",8,0.0123077,636,0.978462
6,0.03,0.035,"[0.03, 0.035)",2,0.00307692,638,0.981538
7,0.035,0.04,"[0.035, 0.04)",2,0.00307692,640,0.984615
8,0.04,0.045,"[0.04, 0.045)",3,0.00461538,643,0.989231
9,0.045,0.05,"[0.045, 0.05)",1,0.00153846,644,0.990769
10,0.05,0.055,"[0.05, 0.055)",0,0,644,0.990769
11,0.055,0.06,"[0.055, 0.06)",0,0,644,0.990769
12,0.06,0.065,"[0.06, 0.065)",3,0.00461538,647,0.995385
13,0.065,0.07,"[0.065, 0.07)",1,0.00153846,648,0.996923
14,0.07,0.075,"[0.07, 0.075)",0,0,648,0.996923
15,0.075,0.08,"[0.075, 0.08)",1,0.00153846,649,0.998462
16,0.08,0.085,"[0.08, 0.085)",0,0,649,0.998462
17,0.085,0.09,"[0.085, 0.09)",0,0,649,0.998462
18,0.09,0.095,"[0.09, 0.095)",0,0,649,0.998462
19,0.095,0.1,"[0.095, 0.1)",1,0.00153846,650,1
